id,park,land,attraction,dis_link,img
1,Magic Kingdom,Adventureland,Jungle Cruise,https://disneyworld.disney.go.com/attractions/magic-kingdom/jungle-cruise/,https://wdwmagic.twic.pics/ElementGalleryItems/attractions/Fullsize/Jungle-Cruise_Full_40710.jpg?twic=v1/resize=1800
2,Magic Kingdom,Adventureland,The Magic Carpets of Aladdin,https://disneyworld.disney.go.com/attractions/magic-kingdom/magic-carpets-of-aladdin/,https://cdn1.parksmedia.wdprapps.disney.com/resize/mwImage/1/1600/900/75/dam/wdpro-assets/parks-and-tickets/attractions/magic-kingdom/the-magic-carpets-of-aladdin/magic-carpets-of-aladdin-00.jpg?1634619799067
3,Magic Kingdom,Adventureland,Pirates of the Caribbean,https://disneyworld.disney.go.com/attractions/magic-kingdom/pirates-of-the-caribbean/,https://cdn1.parksmedia.wdprapps.disney.com/resize/mwImage/1/1600/900/75/dam/wdpro-assets/parks-and-tickets/attractions/magic-kingdom/pirates-of-the-caribbean/pirates-of-the-caribbean-00.jpg?1634619756433
4,Magic Kingdom,Adventureland,Enchanted Tiki Room,https://disneyworld.disney.go.com/attractions/magic-kingdom/enchanted-tiki-room/,https://cdn1.parksmedia.wdprapps.disney.com/resize/mwImage/1/1600/900/75/dam/wdpro-assets/parks-and-tickets/attractions/magic-kingdom/walt-disneys-enchanted-tiki-room/enchanted-tiki-room-00.jpg?1632405419762
5,Magic Kingdom,Adventureland,Swiss Family Treehouse,https://disneyworld.disney.go.com/attractions/magic-kingdom/swiss-family-treehouse/,https://cdn1.parksmedia.wdprapps.disney.com/resize/mwImage/1/1600/900/75/dam/wdpro-assets/parks-and-tickets/attractions/magic-kingdom/swiss-family-treehouse/swiss-family-treehouse-00.jpg?1632405101491
6,Magic Kingdom,Frontierland,Big Thunder Mountain Railroad,https://disneyworld.disney.go.com/attractions/magic-kingdom/big-thunder-mountain-railroad/,https://blogmickey.com/wp-content/uploads/2021/03/big-thunder-mountain-railroad-magic-kingdom-1.jpg
7,Magic Kingdom,Frontierland,Country Bear Jamboree,https://disneyworld.disney.go.com/attractions/magic-kingdom/country-bear-jamboree/,https://cdn1.parksmedia.wdprapps.disney.com/resize/mwImage/1/1600/900/75/dam/wdpro-assets/gallery/attractions/magic-kingdom/country-bear-jamboree/country-bear-jamboree-gallery00.jpg?1551208381642
8,Magic Kingdom,Frontierland,Splash Mountain,https://disneyworld.disney.go.com/attractions/magic-kingdom/splash-mountain/,https://cdn1.parksmedia.wdprapps.disney.com/resize/mwImage/1/1600/900/75/dam/wdpro-assets/parks-and-tickets/attractions/magic-kingdom/splash-mountain/splash-mountain-00.jpg?1560441946491
9,Magic Kingdom,Frontierland,Frontierland Shootin' Arcade,https://disneyworld.disney.go.com/attractions/magic-kingdom/frontierland-shootin-arcade/,https://cdn1.parksmedia.wdprapps.disney.com/resize/mwImage/1/1600/900/75/dam/wdpro-assets/gallery/attractions/magic-kingdom/frontierland-shootin-arcade/frontierland-shootin-arcade-gallery01.jpg?1551208441450
10,Magic Kingdom,Frontierland,Tom Sawyer Island,https://disneyworld.disney.go.com/attractions/magic-kingdom/tom-sawyer-island/,https://cdn1.parksmedia.wdprapps.disney.com/resize/mwImage/1/1600/900/75/dam/wdpro-assets/parks-and-tickets/attractions/magic-kingdom/tom-sawyer-island/tom-sawyer-island-00.jpg?1632405184516
